price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3848483,4601,2,2,2,yes,no,no,no,yes,2,yes,semi-furnished
2358461,5596,3,2,3,yes,no,yes,no,yes,2,yes,furnished
2503369,5723,4,2,4,no,no,no,no,no,0,yes,semi-furnished
4287124,3614,4,2,3,yes,no,no,no,yes,0,yes,semi-furnished
7073212,2853,3,4,3,yes,no,no,no,yes,2,no,semi-furnished
7819487,1650,4,2,3,yes,no,no,no,yes,2,yes,semi-furnished
1804344,4270,3,2,3,yes,yes,yes,no,no,3,no,unfurnished
6252554,7963,3,2,4,yes,no,no,no,no,2,yes,furnished
4374403,4403,5,4,4,yes,no,yes,no,yes,3,yes,furnished
6218079,4744,4,2,2,yes,no,yes,no,yes,2,yes,semi-furnished
3310431,8343,4,2,3,no,yes,yes,no,no,2,no,semi-furnished
7957138,7074,4,2,3,yes,no,yes,no,yes,3,yes,unfurnished
5741460,6940,4,4,3,yes,no,yes,no,yes,3,yes,unfurnished
1750000,6044,3,2,3,yes,no,no,no,no,0,yes,semi-furnished
3037455,5484,3,4,3,yes,no,yes,no,yes,2,yes,furnished
3730486,5427,4,2,4,yes,yes,no,no,no,3,yes,furnished
5118307,3286,3,4,4,yes,no,yes,no,yes,0,yes,semi-furnished
3773416,4666,4,2,3,yes,no,no,yes,no,3,no,furnished
6389138,6490,3,2,4,yes,no,no,yes,yes,3,no,semi-furnished
1750000,8369,4,4,2,yes,no,yes,no,no,2,no,unfurnished
6706040,3532,3,2,4,yes,yes,no,no,yes,2,yes,semi-furnished
3802689,4422,3,4,2,no,no,yes,no,yes,2,yes,unfurnished
7254617,4812,4,2,1,yes,no,yes,no,yes,2,yes,unfurnished
4877209,4441,5,2,1,no,yes,no,no,no,2,no,unfurnished
1950816,6418,4,2,4,yes,no,no,no,yes,3,yes,semi-furnished
3169316,1650,4,2,4,yes,no,no,yes,yes,2,no,unfurnished
4104757,3877,4,4,4,yes,no,no,no,yes,2,yes,furnished
5301735,5282,4,2,3,no,no,no,no,yes,3,yes,furnished
6097581,3698,4,2,4,no,no,no,no,yes,3,no,furnished
8928592,5528,4,2,4,yes,no,no,no,yes,2,yes,unfurnished
1750000,2358,5,2,4,yes,no,no,no,yes,3,no,unfurnished
3018491,6511,4,2,3,yes,no,no,no,yes,0,no,furnished
3781400,7346,3,2,4,yes,yes,no,no,yes,3,yes,semi-furnished
1750000,6640,6,2,3,yes,no,yes,yes,no,0,no,furnished
7894658,1650,3,2,4,yes,no,yes,no,yes,2,no,semi-furnished
1750000,6368,4,4,3,yes,no,yes,yes,no,0,no,semi-furnished
7102424,5964,4,2,1,yes,no,no,no,yes,2,yes,furnished
5281251,5625,3,2,2,yes,no,yes,yes,yes,2,yes,furnished
3809478,6063,4,2,3,yes,no,no,no,yes,2,yes,unfurnished
5739528,4959,3,2,4,yes,no,no,no,no,3,yes,semi-furnished
4310075,3601,4,2,1,yes,yes,no,no,yes,2,yes,unfurnished
4549840,4113,3,2,3,yes,no,yes,no,no,0,no,unfurnished
8482636,4529,4,4,4,yes,no,no,no,no,2,yes,semi-furnished
5907752,3516,5,4,3,yes,no,yes,no,yes,3,yes,semi-furnished
