area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
4278,3,1,2,yes,yes,yes,no,no,0,yes,furnished,7277800
5905,3,3,2,yes,no,yes,no,yes,0,yes,semi-furnished,7290500
5860,2,2,3,yes,no,no,no,no,3,yes,semi-furnished,6786000
6857,4,1,2,no,yes,no,no,no,1,no,furnished,6285700
5198,3,2,1,yes,no,yes,no,no,1,no,furnished,6769800
3694,2,1,2,yes,no,no,no,no,1,no,unfurnished,5569400
4329,5,1,2,yes,no,no,no,no,0,yes,furnished,6432900
5475,3,2,2,no,no,yes,yes,no,3,no,furnished,6797500
6650,2,2,3,yes,no,no,no,yes,1,no,semi-furnished,6515000
3977,3,1,1,no,no,no,yes,no,0,no,furnished,5997700
5081,3,1,3,yes,yes,yes,no,yes,0,no,furnished,7208100
6699,4,1,2,yes,no,no,yes,yes,0,no,unfurnished,6119900
2779,3,3,2,yes,no,no,yes,yes,0,yes,semi-furnished,6927900
4395,3,1,2,yes,no,no,no,yes,0,yes,semi-furnished,6889500
7432,2,2,1,no,yes,no,no,no,1,yes,furnished,6643200
5965,3,1,3,no,no,no,yes,yes,1,yes,unfurnished,6746500
4052,3,1,2,yes,yes,yes,no,yes,1,no,semi-furnished,6905200
3339,3,1,2,yes,yes,no,no,yes,1,yes,semi-furnished,7083900
5745,2,3,3,yes,no,no,no,yes,2,no,unfurnished,6224500
5479,3,3,2,yes,no,yes,no,yes,0,yes,furnished,7547900
7686,4,3,2,yes,no,no,no,yes,1,yes,furnished,7218600
3442,5,2,2,no,yes,no,no,yes,0,yes,unfurnished,5894200
6958,3,3,1,no,yes,yes,yes,yes,0,yes,furnished,7695800
2138,4,2,1,yes,no,no,no,no,1,yes,unfurnished,5713800
5832,3,3,1,yes,no,no,yes,no,2,yes,semi-furnished,7183200
3423,4,1,2,yes,no,yes,no,no,1,no,semi-furnished,5892300
6836,3,1,2,no,no,no,no,no,1,no,semi-furnished,6283600
5329,4,1,1,yes,yes,no,no,yes,0,yes,furnished,6682900
5399,3,1,1,no,no,no,no,yes,2,no,semi-furnished,6189900
5206,4,2,3,yes,yes,yes,no,yes,2,no,furnished,7120600
5855,4,2,3,yes,yes,no,no,no,1,no,furnished,6685500
6395,3,4,1,yes,yes,yes,no,yes,0,no,semi-furnished,7339500
5366,2,1,1,yes,no,no,no,yes,3,yes,furnished,6786600
3882,5,1,1,no,no,no,no,no,0,yes,unfurnished,5288200
4071,4,1,2,no,no,no,no,yes,1,yes,unfurnished,5957100
4201,3,1,2,yes,yes,yes,no,no,0,yes,furnished,7270100
5140,3,1,1,yes,no,no,no,yes,1,yes,semi-furnished,6764000
4368,2,2,3,no,yes,yes,no,yes,1,no,semi-furnished,6336800
4144,2,2,2,yes,yes,no,no,yes,1,yes,unfurnished,6364400
3921,3,2,1,yes,yes,no,no,yes,2,yes,furnished,7442100
6003,3,2,2,yes,no,yes,no,yes,1,no,unfurnished,6600300
4422,4,2,2,yes,no,yes,yes,no,1,yes,semi-furnished,6392200
4763,4,1,2,no,yes,yes,no,yes,1,no,furnished,6476300
2326,3,3,1,yes,no,no,no,yes,2,yes,semi-furnished,6982600
4039,3,1,2,yes,no,yes,no,yes,1,no,furnished,7003900
4006,2,1,1,yes,no,yes,no,no,2,no,unfurnished,5550600
5868,5,2,1,yes,no,yes,no,yes,1,no,furnished,6586800
5980,5,1,1,no,no,no,yes,yes,2,yes,unfurnished,6048000
8092,2,1,2,yes,no,yes,no,yes,3,no,unfurnished,6609200
6327,5,2,1,no,yes,no,no,yes,2,yes,semi-furnished,6582700
6031,4,2,2,yes,no,no,no,yes,3,no,semi-furnished,6353100
5560,5,2,1,no,yes,no,no,no,2,yes,semi-furnished,6256000
3848,4,2,1,yes,no,no,no,yes,1,yes,furnished,6634800
6523,2,1,3,yes,yes,yes,no,yes,1,yes,semi-furnished,7052300
4186,3,1,3,yes,no,yes,no,no,0,yes,semi-furnished,6768600
3783,4,1,1,yes,no,no,no,no,2,no,furnished,5878300
4433,3,2,1,no,no,no,no,yes,2,no,semi-furnished,6293300
7147,2,2,1,yes,no,no,no,yes,1,no,furnished,6564700
5809,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,6680900
8438,3,1,2,yes,no,yes,no,yes,2,no,semi-furnished,7243800
4179,2,3,3,no,no,no,no,yes,0,yes,furnished,6467900
4606,2,2,2,no,no,yes,yes,no,0,yes,furnished,6310600
6459,5,1,1,yes,no,no,no,no,1,yes,furnished,6445900
3799,4,2,1,yes,no,yes,no,yes,1,yes,semi-furnished,6479900
3601,4,1,1,yes,no,no,no,yes,1,no,semi-furnished,5710100
5053,2,4,1,yes,no,yes,no,yes,3,no,furnished,7105300
6178,3,1,3,no,no,yes,no,no,0,no,unfurnished,6067800
7943,4,1,1,no,no,no,yes,yes,0,no,semi-furnished,5844300
4976,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,6997600
2904,3,1,1,yes,no,no,no,yes,0,yes,furnished,6740400
5342,5,1,1,yes,yes,yes,no,no,1,no,semi-furnished,5984200
4952,2,1,1,yes,no,yes,no,yes,1,yes,furnished,6695200
5593,5,2,1,no,yes,no,no,yes,0,yes,furnished,6609300
3754,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,6375400
5302,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,6330200
4267,3,1,1,yes,no,no,no,yes,0,yes,furnished,6876700
7259,5,2,2,yes,no,no,no,yes,2,yes,unfurnished,6575900
5382,4,1,3,yes,no,no,no,yes,2,yes,furnished,6988200
7343,3,3,1,yes,no,no,no,yes,3,no,furnished,7484300
5121,3,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,7112100
4382,4,2,2,no,no,no,no,yes,1,yes,furnished,6388200
1594,3,2,2,yes,no,no,no,yes,0,yes,unfurnished,6309400
3348,2,1,2,no,no,yes,no,yes,2,no,semi-furnished,5934800
5847,3,2,1,yes,no,no,no,yes,2,yes,furnished,7434700
5461,4,1,1,yes,no,no,yes,yes,1,yes,semi-furnished,6396100
5290,3,1,2,no,no,no,no,yes,1,no,furnished,6679000
3784,3,1,1,yes,no,no,yes,no,0,no,semi-furnished,5978400
4386,3,1,2,no,no,no,no,yes,0,no,semi-furnished,6188600
5361,3,3,1,yes,no,yes,no,no,1,yes,furnished,7386100
5562,3,2,3,yes,no,no,no,no,1,no,semi-furnished,6656200
5339,3,1,1,yes,no,no,no,yes,1,no,unfurnished,6183900
5932,5,3,1,yes,no,no,no,yes,0,no,furnished,6543200
5162,4,3,2,yes,no,no,yes,no,1,no,furnished,6416200
2840,2,2,1,yes,no,yes,no,no,1,yes,semi-furnished,6134000
7106,3,3,1,yes,no,no,no,yes,0,yes,semi-furnished,7260600
5186,3,2,1,yes,yes,yes,yes,no,1,no,semi-furnished,6768600
6967,2,2,1,no,no,yes,no,yes,1,no,unfurnished,5896700
6259,3,2,3,yes,no,yes,no,yes,0,no,semi-furnished,7025900
4059,4,2,2,yes,no,yes,no,yes,3,no,semi-furnished,6305900
1500,2,1,2,no,yes,no,yes,no,1,no,semi-furnished,5446900
5195,5,3,3,yes,no,no,no,no,1,no,unfurnished,5819500
5380,2,1,2,yes,yes,no,no,no,2,yes,furnished,6938000
4113,2,2,2,yes,no,yes,no,no,1,no,furnished,6161300
4798,5,1,1,no,no,no,yes,no,0,yes,semi-furnished,5679800
6922,4,2,2,no,no,no,yes,yes,2,yes,semi-furnished,6542200
3699,5,1,1,yes,no,no,yes,yes,1,no,unfurnished,5619900
8183,4,1,2,yes,no,yes,no,yes,1,no,unfurnished,6418300
3883,4,2,1,yes,no,no,yes,yes,2,yes,furnished,6838300
5760,2,1,2,no,no,yes,no,yes,1,yes,semi-furnished,6476000
6432,5,1,1,yes,no,yes,no,yes,3,yes,furnished,7043200
3843,5,2,1,no,no,yes,yes,no,1,yes,semi-furnished,6034300
4730,3,2,1,yes,yes,no,yes,yes,3,no,semi-furnished,7023000
5460,5,2,1,yes,no,yes,no,yes,2,yes,semi-furnished,6746000
4535,3,1,1,yes,yes,yes,no,no,3,no,semi-furnished,6603500
2799,4,1,1,yes,no,no,no,no,1,yes,furnished,6079900
5160,3,1,2,no,yes,no,no,no,0,yes,semi-furnished,6616000
6285,3,1,2,yes,no,no,no,no,3,no,furnished,7028500
6255,4,2,1,yes,no,yes,no,yes,0,no,furnished,6525500
7935,2,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,6593500
6901,3,2,2,yes,no,yes,yes,no,2,no,furnished,7140100
7375,3,1,1,no,yes,no,no,yes,2,yes,semi-furnished,6987500
5829,3,3,1,yes,no,yes,no,yes,1,no,furnished,7282900
